19970100	20030
17111590	17122
77944983	78220
15189064	15248
72796309	72724
59300572	59181
67426874	67329
5835787	5917
60866199	60911
92339932	92960
11296946	11362
21749490	21648
95964601	96037
98400219	98185
43865562	43800
53470477	53704
94771717	94693
70086120	69906
32563264	32735
68075324	68229
91846874	91650
99397808	99284
93303789	93139
96375919	96331
40177128	40188
82458972	82550
4404739	4371
35630651	35424
88651863	88392
24431525	24301
77958354	77888
5489569	5524
59215950	59352
49258632	49130
37424199	37503
91447681	91496
30896581	30707
21778344	21786
99408165	99609
93281664	93445
76572572	76802
29031156	28787
56547434	56631
76282820	76456
4050120	4067
175860	183
93246672	93571
76554059	76644
55282856	55393
24660661	24577
67055727	67038
30425321	30308
64644470	64597
88742479	88862
51150463	51411
47578332	47297
21648344	21739
44714256	44593
48153916	47884
98239501	97977
99880854	99511
50331975	50637
45225698	45617
13377766	13618
74895463	75088
22082222	22425
91522008	91409
62514634	62570
5613685	5611
17124841	16974
94553397	94455
84658334	84816
30948839	31040
10225581	10378
72185970	72126
65615435	65453
64752827	64961
95763974	95733
85905907	85137
90538267	90670
91569146	91890
75653318	75969
70731344	70852
53221673	53228
59598190	59820
53050079	52750
3976204	4071
96051792	96498
82392849	82261
35774444	35836
24625806	24696
72216336	72446
95602264	94749
48016021	48197
33380980	33456
39062974	39060
51949726	51837
25585733	25749
61926012	62305
11632021	11734
